,index,Movie,P_Genre,S_Genre,T_Genre,cluster_Id,Cluster_Id
0,0,doctor strange in the multiverse of madness,6,9,5,,6
1,1,jurassic world dominion,6,9,12,,27
2,2,the princess,6,3,5,,0
3,3,everything everywhere all at once,6,9,11,,1
4,4,the man from toronto,6,9,0,,17
5,5,independence day,6,9,12,,27
6,6,spiderhead,6,6,4,,9
7,7,lightyear,1,7,13,,14
8,8,rocketry: the nambi effect,6,1,4,,19
9,9,the batman,6,6,4,,9
10,10,the northman,6,9,4,,47
11,11,the unbearable weight of massive talent,6,8,8,,10
12,12,thor: ragnarok,6,9,11,,1
13,13,spider-man: no way home,6,9,5,,6
14,14,fantastic beasts: the secrets of dumbledore,6,9,5,,6
15,15,the woman king,6,3,1,,24
16,16,the lost city,6,9,11,,1
17,17,no time to die,6,9,0,,17
18,18,morbius,6,9,15,,35
19,19,major,6,1,4,,19
20,20,jurassic park,6,9,12,,27
21,21,avatar: the way of water,6,9,12,,27
22,22,thor,6,9,5,,6
23,23,dune: part one,6,9,4,,47
24,24,avengers: endgame,6,9,4,,47
25,25,eternals,6,9,5,,6
26,26,hellboy,6,9,5,,6
27,27,wild card,6,6,4,,9
28,28,ambulance,6,6,4,,9
29,29,star wars,6,9,5,,6
30,30,sonic the hedgehog 2,6,9,11,,1
31,31,inception,6,9,12,,27
32,32,the dark knight,6,6,4,,9
33,33,free guy,6,9,11,,1
34,34,thor: the dark world,6,9,5,,6
35,35,dc league of super-pets,1,7,13,,14
36,36,independence day: resurgence,6,9,12,,27
37,37,interceptor,6,9,4,,47
38,38,jurassic world,6,9,12,,27
39,39,jurassic world: fallen kingdom,6,9,12,,27
40,40,black adam,6,4,12,,28
41,41,thor: love and thunder,6,9,11,,1
42,42,elvis,0,3,6,,18
43,43,minions: the rise of gru,1,9,11,,4
44,46,sing 2,1,9,11,,4
45,50,the bad guys,1,9,11,,4
46,52,barbie,5,8,5,,31
47,53,hustle,4,3,7,,21
48,54,last night in soho,2,11,2,,12
49,59,nope,7,2,12,,20
50,61,where the crawdads sing,2,2,0,,38
51,62,house of gucci,0,6,4,,8
52,65,the sea beast,1,9,11,,4
53,66,terror on the prairie,2,0,10,,22
54,69,men,2,4,15,,15
55,72,crimes of the future,2,11,12,,26
56,76,hocus pocus 2,4,10,5,,25
57,167,father of the bride,4,3,3,,11
58,168,minions,1,9,11,,4
59,169,ghostbusters: afterlife,5,8,5,,31
60,170,jug jugg jeeyo,4,3,14,,32
61,171,the wolf of wall street,0,8,8,,23
62,172,despicable me,1,9,11,,4
63,174,jerry & marge go large,0,8,4,,34
64,175,love & gelato,4,3,3,,11
65,176,the goonies,5,8,14,,13
66,177,"hello, goodbye and everything in between",4,3,3,,11
67,179,mr. malcolm's list,4,3,3,,11
68,181,licorice pizza,4,3,3,,11
69,182,verdens verste menneske,4,3,3,,11
70,183,encanto,1,8,14,,36
71,184,sing,1,8,14,,36
72,185,the sandlot,4,3,14,,32
73,186,the gentlemen,6,8,8,,10
74,187,hocus pocus,4,10,5,,25
75,188,coda,4,3,6,,43
76,189,marry me,4,5,3,,37
77,190,back to the future,5,8,12,,39
78,191,elf,5,8,14,,13
79,192,don't look up,4,3,12,,3
80,199,death on the nile,3,3,2,,29
81,201,goodfellas,0,6,4,,8
82,207,the talented mr. ripley,3,3,0,,5
83,209,killers of the flower moon,3,3,1,,40
84,210,a call to spy,0,6,4,,8
85,211,american psycho,3,3,15,,30
86,212,se7en,3,3,2,,29
87,213,thief,6,6,4,,9
88,215,american made,6,8,8,,10
89,216,legend,0,6,4,,8
90,217,enola holmes,6,9,8,,41
91,218,spree,6,8,8,,10
92,219,heat,6,6,4,,9
93,220,knives out,4,6,4,,2
94,221,nightmare alley,3,3,0,,5
95,222,the departed,3,3,0,,5
96,223,léon,6,6,4,,9
97,224,the outfit,3,3,2,,29
98,225,catch me if you can,0,6,4,,8
99,226,john wick,6,6,0,,7
100,227,joker,3,3,0,,5
101,228,west side story,3,3,9,,16
102,229,the card counter,3,3,0,,5
103,230,despicable me 3,1,9,11,,4
104,231,wrath of man,6,6,0,,7
105,232,shazam! fury of the gods,6,9,11,,1
106,233,despicable me 2,1,9,11,,4
107,234,nobody,6,6,4,,9
108,235,the grand budapest hotel,5,8,8,,44
